,price,superficie,chambres,bains,city
1283,270000.0,94.0,2,1,ariana
1287,398000.0,102.0,1,1,nabeul
1294,175000.0,90.0,2,1,nabeul
1295,199000.0,85.0,2,1,nabeul
1296,190000.0,100.0,2,1,nabeul
1297,215000.0,125.0,2,2,nabeul
1299,327597.0,84.0,1,1,nabeul
1303,185000.0,100.0,2,1,ben arous
1314,1000000.0,400.0,6,4,tunis
1324,350000.0,100.0,3,2,ariana
1328,200000.0,67.0,2,1,tunis
1330,506000.0,156.0,3,1,tunis
1331,335000.0,110.0,3,2,tunis
1333,85000.0,90.0,2,1,sousse
1335,235000.0,94.0,2,2,sousse
1357,160000.0,54.0,1,1,ben arous
1362,171000.0,68.0,1,1,ariana
1369,450000.0,138.0,3,2,ariana
1372,450000.0,138.0,3,2,tunis
1374,115000.0,50.0,1,1,ariana
1376,1300000.0,292.0,7,5,ariana
1379,180000.0,54.0,1,1,tunis
1383,280000.0,92.0,1,1,tunis
1385,890000.0,315.0,2,2,tunis
1406,350000.0,116.0,2,2,tunis
1413,260000.0,65.0,1,1,ben arous
1418,90000.0,45.0,1,1,tunis
1423,257400.0,66.0,3,1,nabeul
1432,200000.0,100.0,2,1,ben arous
1435,650000.0,425.0,7,3,mahdia
1437,680000.0,124.0,2,2,mahdia
1438,264000.0,69.5,1,1,mahdia
1440,170000.0,89.5,2,1,mahdia
1448,240000.0,82.0,2,1,mahdia
1450,200000.0,120.0,2,1,mahdia
1451,570002.0,554.0,4,3,medenine
1455,280000.0,120.0,4,2,ariana
1457,1500000.0,108.0,2,1,tunis
1460,800000.0,413.0,8,2,ben arous
1482,435000.0,210.0,4,1,ben arous
1485,650000.0,520.0,6,2,ben arous
1486,750000.0,597.0,3,2,ben arous
1487,480000.0,185.0,4,4,ben arous
1488,790000.0,418.0,7,4,ben arous
1517,279000.0,90.0,2,1,tunis
1518,280000.0,280.0,4,3,nabeul
1519,550000.0,300.0,4,1,sfax
1520,1450000.0,497.0,7,3,sousse
1522,271000.0,90.0,2,1,sousse
1523,187000.0,113.0,2,1,sousse
1524,380000.0,310.0,4,2,sousse
1525,366000.0,140.0,3,2,sousse
1530,440000.0,116.0,2,2,ariana
1531,267000.0,67.0,2,1,tunis
1532,235000.0,56.0,1,1,nabeul
1534,630000.0,160.0,4,2,tunis
1565,180000.0,150.0,3,1,tunis
1573,128000.0,80.0,2,1,tunis
1576,185000.0,95.0,2,1,ariana
1581,260000.0,89.0,2,1,ben arous
1582,1475000.0,600.0,6,3,ben arous
1583,950000.0,400.0,4,3,nabeul
1584,1200000.0,420.0,4,4,tunis
1590,350000.0,91.0,2,1,nabeul
1594,490000.0,192.0,2,1,nabeul
1595,359999.0,116.0,2,1,nabeul
1596,490000.0,104.0,2,1,nabeul
1597,380000.0,110.0,2,1,nabeul
1598,240000.0,117.0,2,1,ben arous
1600,260000.0,64.0,1,1,nabeul
1603,670000.0,354.0,3,2,nabeul
1605,340000.0,156.0,3,2,tunis
1606,135000.0,61.0,1,1,nabeul
1610,180000.0,45.0,1,1,nabeul
1622,330000.0,230.0,4,2,tunis
1634,390000.0,120.0,2,2,tunis
1641,325000.0,120.0,2,1,ariana
1673,360000.0,103.0,2,2,tunis
1674,295000.0,72.0,1,1,tunis
1678,500000.0,200.0,4,2,bizerte
1681,620000.0,560.0,1,1,tunis
1682,280000.0,118.0,2,1,tunis
1683,480000.0,105.0,2,2,tunis
1684,244000.0,46.0,1,1,ariana
1685,600000.0,270.0,3,3,ariana
1686,250000.0,109.0,2,1,tunis
1687,860000.0,160.0,3,3,ariana
1693,529996.0,300.0,4,2,tunis
1697,285000.0,60.0,2,1,tunis
1706,295000.0,200.0,6,3,manouba
1710,480000.0,400.0,4,1,ben arous
1715,260000.0,120.0,2,1,tunis
1722,480000.0,125.4,2,2,sousse
1724,95000.0,85.0,2,1,ben arous
1726,260000.0,100.0,3,1,tunis
1729,530000.0,118.0,2,1,sousse
1735,275000.0,81.0,1,1,tunis
1738,325000.0,89.0,2,2,tunis
1739,317000.0,152.0,3,2,tunis
1741,495000.0,129.0,3,2,ariana
1746,1200000.0,690.0,7,2,manouba
1750,86000.0,220.0,2,1,tunis
1763,175000.0,80.0,2,1,sousse
1773,190000.0,101.0,4,1,tunis
1774,85000.0,160.0,3,2,nabeul
