price,superficie,chambres,bains,city
260000.0,71.0,2,1.0,Nabeul
125000.0,100.0,4,1.0,Ariana
370000.0,317.0,7,2.0,La Manouba
525000.0,161.0,3,2.0,Nabeul
249000.0,103.0,2,1.0,Sousse
85000.0,80.0,2,1.0,Sousse
114000.0,60.0,1,1.0,Sousse
392000.0,134.0,3,2.0,Sousse
420000.0,149.0,4,3.0,Sousse
240000.0,116.0,2,1.0,Sousse
297000.0,119.0,2,1.0,Tunis
960000.0,180.0,3,1.0,Ariana
540000.0,151.0,3,1.0,Ariana
380000.0,105.0,2,1.0,tunis
150000.0,156.0,3,1.0,tunis
410000.0,200.0,3,2.0,Nabeul
220000.0,118.0,2,1.0,tunis
680000.0,500.0,4,2.0,Sousse
1300000.0,400.0,7,3.0,Tunis
365000.0,160.0,9,3.0,tunis
800000.0,225.0,5,2.0,Tunis
155000.0,100.0,3,1.0,Tunis
620000.0,325.0,6,3.0,tunis
215000.0,63.0,1,1.0,Tunis
560000.0,472.0,4,2.0,Tunis
310000.0,260.0,5,3.0,Tunis
235000.0,90.0,2,1.0,Tunis
240000.0,100.0,2,1.0,Tunis
297000.0,93.0,2,1.0,Tunis
265000.0,88.0,1,1.0,tunis
890000.0,285.0,4,4.0,Tunis
569000.0,125.0,2,2.0,Ariana
650000.0,156.0,3,2.0,Ariana
270000.0,94.0,2,1.0,Ariana
398000.0,102.0,1,1.0,Nabeul
325000.0,135.0,3,1.0,Tunis
325000.0,135.0,3,1.0,Tunis
270000.0,94.0,2,1.0,Tunis
175000.0,90.0,2,1.0,Nabeul
199000.0,85.0,2,1.0,Nabeul
190000.0,100.0,2,1.0,Nabeul
215000.0,125.0,2,2.0,Nabeul
270000.0,94.0,2,1.0,Tunis
327597.0,84.0,1,1.0,Nabeul
185000.0,100.0,2,1.0,Ben Arous
1000000.0,400.0,6,4.0,Tunis
350000.0,100.0,3,2.0,Ariana
200000.0,67.0,2,1.0,tunis
506000.0,156.0,3,1.0,Tunis
335000.0,110.0,3,2.0,tunis
85000.0,90.0,2,1.0,Sousse
235000.0,94.0,2,2.0,Sousse
160000.0,54.0,1,1.0,Ben Arous
171000.0,68.0,1,1.0,Ariana
450000.0,138.0,3,2.0,Ariana
450000.0,138.0,3,2.0,Tunis
115000.0,50.0,1,1.0,Ariana
1300000.0,292.0,7,5.0,Ariana
180000.0,54.0,1,1.0,Tunis
280000.0,92.0,1,1.0,Tunis
890000.0,315.0,2,2.0,Tunis
350000.0,116.0,2,2.0,Tunis
260000.0,65.0,1,1.0,Ben Arous
90000.0,45.0,1,1.0,Tunis
257400.0,66.0,3,1.0,Nabeul
200000.0,100.0,2,1.0,Ben Arous
650000.0,425.0,7,3.0,Mahdia
680000.0,124.0,2,2.0,Mahdia
264000.0,69.5,1,1.0,Mahdia
170000.0,89.5,2,1.0,Mahdia
240000.0,82.0,2,1.0,Mahdia
200000.0,120.0,2,1.0,Mahdia
570002.0,554.0,4,3.0,Médenine
280000.0,120.0,4,2.0,Ariana
1500000.0,108.0,2,1.0,tunis
800000.0,413.0,8,2.0,Ben Arous
435000.0,210.0,4,1.0,Ben Arous
650000.0,520.0,6,2.0,Ben Arous
750000.0,597.0,3,2.0,Ben Arous
480000.0,185.0,4,4.0,Ben Arous
790000.0,418.0,7,4.0,Ben Arous
279000.0,90.0,2,1.0,Tunis
280000.0,280.0,4,3.0,Nabeul
550000.0,300.0,4,1.0,Sfax
1450000.0,497.0,7,3.0,Sousse
271000.0,90.0,2,1.0,Sousse
187000.0,113.0,2,1.0,Sousse
380000.0,310.0,4,2.0,Sousse
366000.0,140.0,3,2.0,Sousse
440000.0,116.0,2,2.0,Ariana
