price,superficie,bains,chambres
180000.0,150.0,1,3
185000.0,95.0,1,2
260000.0,89.0,1,2
950000.0,400.0,3,4
350000.0,91.0,0,2
490000.0,192.0,0,2
359999.0,116.0,0,2
490000.0,104.0,0,2
380000.0,110.0,0,2
240000.0,117.0,1,2
260000.0,64.0,1,1
670000.0,354.0,2,3
340000.0,156.0,2,3
135000.0,61.0,1,1
180000.0,45.0,1,1
330000.0,230.0,2,4
390000.0,120.0,2,2
325000.0,120.0,1,2
360000.0,103.0,2,2
295000.0,72.0,1,1
500000.0,200.0,2,4
620000.0,560.0,1,1
280000.0,118.0,1,2
480000.0,105.0,2,2
244000.0,46.0,1,1
600000.0,270.0,3,3
250000.0,109.0,1,2
860000.0,160.0,3,3
529996.0,300.0,2,4
295000.0,200.0,3,6
480000.0,125.4,2,2
95000.0,85.0,1,2
530000.0,118.0,1,2
275000.0,81.0,1,1
325000.0,89.0,2,2
317000.0,152.0,2,3
495000.0,129.0,2,3
175000.0,80.0,1,2
244999.0,145.0,1,3
190000.0,101.0,1,4
85000.0,160.0,2,3
345000.0,75.0,1,1
350000.0,128.0,3,4
460000.0,153.0,2,3
160000.0,50.0,1,1
270000.0,110.0,1,2
195000.0,100.0,1,2
320000.0,83.0,1,1
980000.0,480.0,1,4
395000.0,106.0,2,3
80000.0,85.0,1,2
950000.0,450.0,5,5
570000.0,110.0,0,2
350000.0,135.0,0,2
350000.0,139.0,2,2
780000.0,380.0,3,5
240000.0,116.0,1,2
290000.0,100.0,1,2
190000.0,115.0,1,2
1250000.0,500.0,3,5
320000.0,130.0,2,3
650000.0,500.0,4,4
217000.0,98.0,1,2
171000.0,68.0,1,1
470000.0,292.0,2,6
259000.0,120.0,2,2
200000.0,56.0,1,1
310000.0,114.0,2,2
159000.0,63.0,1,2
360000.0,140.0,1,3
600000.0,158.0,2,3
178000.0,75.0,1,2
420000.0,153.0,2,3
860000.0,400.0,3,3
1350000.0,434.0,3,5
495000.0,500.0,2,3
155000.0,105.0,2,3
100000.0,280.0,1,2
1990000.0,450.0,4,5
180000.0,236.0,1,2
275000.0,120.0,1,3
1600000.0,450.0,3,5
850000.0,450.0,4,7
125000.0,85.0,1,2
265000.0,97.0,1,2
335000.0,114.0,2,5
240000.0,95.0,1,2
380000.0,112.0,1,3
820000.0,500.0,4,4
750000.0,242.0,2,3
180000.0,100.0,1,3
730000.0,330.0,4,6
120000.0,49.0,1,1
630000.0,417.0,2,4
319000.0,120.0,1,2
152000.0,42.0,1,2
198000.0,100.0,2,3
155000.0,48.0,1,2
270000.0,130.0,1,2
165000.0,50.0,1,1
178000.0,85.0,1,2
159999.0,100.0,1,0
540000.0,158.0,2,3
240000.0,150.0,1,2
210000.0,182.0,1,3
250000.0,100.0,1,1
170000.0,100.0,1,3
890000.0,340.0,3,4
190000.0,56.0,1,1
235000.0,120.0,1,2
140000.0,65.0,1,2
105000.0,65.0,1,1
335000.0,108.0,1,2
270000.0,100.0,2,4
450000.0,355.0,2,4
170000.0,92.0,1,3
185000.0,92.0,1,3
115000.0,61.0,1,1
190000.0,134.0,2,4
1900000.0,502.0,4,5
695000.0,480.0,4,7
380000.0,441.0,3,5
380000.0,107.0,2,2
290000.0,69.0,1,1
285000.0,120.0,1,3
255000.0,102.5,1,2
350000.0,140.0,2,6
255000.0,140.0,2,5
570000.0,128.0,2,2
255000.0,104.0,1,2
1000000.0,350.0,7,9
178000.0,96.0,1,2
160000.0,107.0,2,3
340000.0,180.0,2,4
450000.0,341.0,2,5
375000.0,188.0,2,3
150000.0,121.0,1,3
380000.0,156.0,1,3
260000.0,400.0,1,3
165000.0,95.0,1,3
180000.0,102.0,1,2
235000.0,150.0,1,3
270000.0,160.0,1,3
315000.0,143.0,1,3
250000.0,170.0,3,6
120000.0,32.0,1,1
400000.0,110.0,2,3
420000.0,170.0,1,3
210000.0,54.0,1,1
150000.0,78.0,1,2
110000.0,50.0,50,1
190000.0,107.0,1,3
150000.0,60.0,1,1
310000.0,140.0,1,3
