price,superficie,chambres,bains,city
265000.0,88.0,1,1.0,tunis
890000.0,285.0,4,4.0,tunis
569000.0,125.0,2,2.0,ariana
650000.0,156.0,3,2.0,ariana
270000.0,94.0,2,1.0,ariana
398000.0,102.0,1,1.0,nabeul
175000.0,90.0,2,1.0,nabeul
199000.0,85.0,2,1.0,nabeul
190000.0,100.0,2,1.0,nabeul
215000.0,125.0,2,2.0,nabeul
327597.0,84.0,1,1.0,nabeul
185000.0,100.0,2,1.0,ben arous
1000000.0,400.0,6,4.0,tunis
350000.0,100.0,3,2.0,ariana
200000.0,67.0,2,1.0,tunis
506000.0,156.0,3,1.0,tunis
335000.0,110.0,3,2.0,tunis
85000.0,90.0,2,1.0,sousse
235000.0,94.0,2,2.0,sousse
160000.0,54.0,1,1.0,ben arous
171000.0,68.0,1,1.0,ariana
450000.0,138.0,3,2.0,ariana
450000.0,138.0,3,2.0,tunis
115000.0,50.0,1,1.0,ariana
1300000.0,292.0,7,5.0,ariana
180000.0,54.0,1,1.0,tunis
280000.0,92.0,1,1.0,tunis
890000.0,315.0,2,2.0,tunis
350000.0,116.0,2,2.0,tunis
260000.0,65.0,1,1.0,ben arous
90000.0,45.0,1,1.0,tunis
257400.0,66.0,3,1.0,nabeul
200000.0,100.0,2,1.0,ben arous
650000.0,425.0,7,3.0,mahdia
680000.0,124.0,2,2.0,mahdia
264000.0,69.5,1,1.0,mahdia
170000.0,89.5,2,1.0,mahdia
240000.0,82.0,2,1.0,mahdia
200000.0,120.0,2,1.0,mahdia
570002.0,554.0,4,3.0,medenine
280000.0,120.0,4,2.0,ariana
1500000.0,108.0,2,1.0,tunis
800000.0,413.0,8,2.0,ben arous
435000.0,210.0,4,1.0,ben arous
650000.0,520.0,6,2.0,ben arous
750000.0,597.0,3,2.0,ben arous
480000.0,185.0,4,4.0,ben arous
790000.0,418.0,7,4.0,ben arous
279000.0,90.0,2,1.0,tunis
280000.0,280.0,4,3.0,nabeul
550000.0,300.0,4,1.0,sfax
1450000.0,497.0,7,3.0,sousse
271000.0,90.0,2,1.0,sousse
187000.0,113.0,2,1.0,sousse
380000.0,310.0,4,2.0,sousse
366000.0,140.0,3,2.0,sousse
440000.0,116.0,2,2.0,ariana
267000.0,67.0,2,1.0,tunis
235000.0,56.0,1,1.0,nabeul
630000.0,160.0,4,2.0,tunis
180000.0,150.0,3,1.0,tunis
128000.0,80.0,2,1.0,tunis
185000.0,95.0,2,1.0,ariana
260000.0,89.0,2,1.0,ben arous
1475000.0,600.0,6,3.0,ben arous
950000.0,400.0,4,3.0,nabeul
1200000.0,420.0,4,4.0,tunis
350000.0,91.0,2,1.0,nabeul
490000.0,192.0,2,1.0,nabeul
359999.0,116.0,2,1.0,nabeul
490000.0,104.0,2,1.0,nabeul
380000.0,110.0,2,1.0,nabeul
240000.0,117.0,2,1.0,ben arous
260000.0,64.0,1,1.0,nabeul
670000.0,354.0,3,2.0,nabeul
340000.0,156.0,3,2.0,tunis
135000.0,61.0,1,1.0,nabeul
180000.0,45.0,1,1.0,nabeul
330000.0,230.0,4,2.0,tunis
390000.0,120.0,2,2.0,tunis
325000.0,120.0,2,1.0,ariana
360000.0,103.0,2,2.0,tunis
295000.0,72.0,1,1.0,tunis
500000.0,200.0,4,2.0,bizerte
620000.0,560.0,1,1.0,tunis
280000.0,118.0,2,1.0,tunis
480000.0,105.0,2,2.0,tunis
244000.0,46.0,1,1.0,ariana
600000.0,270.0,3,3.0,ariana
250000.0,109.0,2,1.0,tunis
